City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,jerada,34.31,-2.16,46.92,76,2,2.95,MA,1706826894
272,port-vila,-17.7338,168.3219,87.4,70,40,5.75,VU,1706826894
273,carutapera,-1.195,-46.02,77.34,95,100,6.55,BR,1706826894
274,saldanha,-33.0117,17.9442,73.45,84,9,7.09,ZA,1706826894
275,ashkelon,31.6693,34.5715,49.89,70,58,16.33,IL,1706826894
276,isangel,-19.55,169.2667,84.69,66,88,7.29,VU,1706826895
277,fukuecho,32.6881,128.8419,53.2,78,100,22.93,JP,1706826895
278,prince george,53.9166,-122.753,47.28,82,75,4.61,CA,1706826895
279,richards bay,-28.783,32.0377,71.08,88,9,5.53,ZA,1706826895
280,sisimiut,66.9395,-53.6735,-8.59,98,100,4.07,GL,1706826895
281,modakeke,7.3833,4.2667,74.5,94,13,2.59,NG,1706826895
282,lihue,21.9789,-159.3672,78.04,73,20,6.91,US,1706826737
283,namibe,-15.1961,12.1522,76.89,83,100,4.83,AO,1706826896
284,tamanrasset,22.785,5.5228,48.11,18,0,4.61,DZ,1706826896
285,sitka,57.0531,-135.33,35.49,64,100,16.11,US,1706826896
286,kingston,17.997,-76.7936,83.35,72,75,10.36,JM,1706826640
287,santanyi,39.3546,3.1291,43.99,77,87,8.14,ES,1706826897
288,wakkanai,45.4094,141.6739,15.1,75,100,14.0,JP,1706826897
289,bandarbeyla,9.4942,50.8122,75.63,77,84,4.72,SO,1706826897
290,gurupi,-11.7292,-49.0686,75.94,87,40,4.16,BR,1706826897
291,boca do acre,-8.7522,-67.3978,75.45,94,100,2.42,BR,1706826897
292,badiyah,22.45,58.8,69.1,76,11,2.01,OM,1706826897
293,fada,9.5667,8.3,71.76,23,46,7.56,NG,1706826898
294,newman,37.3138,-121.0208,58.03,74,73,4.0,US,1706826898
295,great falls,47.5002,-111.3008,65.41,25,0,19.57,US,1706826816
296,turochak,52.2576,87.1224,4.12,99,100,3.49,RU,1706826898
297,bardai,11.65,7.2333,66.92,18,26,11.21,NG,1706826898
298,sinabang,2.4803,96.3801,80.71,81,91,3.8,ID,1706826899
299,daphne,30.6035,-87.9036,61.36,62,0,6.91,US,1706826899
300,karoi,-16.8099,29.6925,62.55,91,77,3.6,ZW,1706826899
301,gustavsberg,59.3268,18.3898,32.99,69,31,12.53,SE,1706826627
302,shimoda,34.6667,138.95,39.11,71,87,15.37,JP,1706826819
303,mitu,1.1983,-70.1733,76.41,94,97,1.01,CO,1706826900
304,dunedin,-45.8742,170.5036,54.81,93,100,3.0,NZ,1706826691
305,sabang,5.8933,95.3214,81.18,78,94,9.55,ID,1706826900
306,naze,28.3667,129.4833,65.32,88,92,6.89,JP,1706826900
307,helena,46.5927,-112.0361,57.16,52,0,0.0,US,1706826900
308,emerald,-23.5333,148.1667,80.35,77,9,5.57,AU,1706826901
309,huarmey,-10.0681,-78.1522,76.35,81,100,6.91,PE,1706826901
310,phayakkhaphum phisai,15.5163,103.1937,77.56,56,2,2.39,TH,1706826901
311,airway heights,47.6446,-117.5933,46.06,82,100,8.05,US,1706826901
312,chesapeake beach,38.6862,-76.5347,52.75,73,40,8.01,US,1706826901
313,yaren,-0.5472,166.916,83.88,74,98,10.98,NR,1706826901
314,hami,42.8,93.45,22.87,52,5,4.54,CN,1706826902
315,cervantes,-39.05,-67.3833,97.79,15,26,3.58,AR,1706826902
316,agapovka,53.2973,59.1348,7.81,100,100,4.12,RU,1706826796
317,vikindu,-7.0067,39.2985,76.32,89,100,2.95,TZ,1706826902
318,san,13.3034,-4.8956,79.16,16,76,10.13,ML,1706826903
319,nagqu,31.5,92.0,7.81,77,100,8.48,CN,1706826903
320,timmins,48.4669,-81.3331,17.42,86,100,16.11,CA,1706826888
321,puerto colombia,10.9878,-74.9547,82.49,84,54,19.15,CO,1706826903
322,trinity beach,-16.7888,145.6968,83.01,96,75,3.44,AU,1706826904
323,kenai,60.5544,-151.2583,-3.91,92,100,4.61,US,1706826904
